Stimulus,Adjusted_N_FA_or_Hit,N_trials,N_FA_or_Hit,Block_id
-40,18,356,18,210501-112041
-12.0411998265592,2,18,2,210501-112041
-9.11863926091431,7,18,7,210501-112041
-6.02059991327962,14,18,14,210501-112041
-2.97483328812409,14,18,14,210501-112041
-0.0872961080490018,14,19,14,210501-112041
-40,21,390,21,210503-115400
-14.8945495527876,1,20,1,210503-115400
-12.0411998265592,6,20,6,210503-115400
-9.11863926091431,10,20,10,210503-115400
-6.02059991327962,15,20,15,210503-115400
-2.97483328812409,17,20,17,210503-115400
-40,19.9,398,18,210504-191859
-18.4163752731923,2,20,2,210504-191859
-14.8945495527876,4,20,4,210504-191859
-12.0411998265592,8,20,8,210504-191859
-9.11863926091431,9,20,9,210504-191859
-6.02059991327962,18,20,18,210504-191859
-40,21,376,21,210507-143909
-18.4163752731923,1,20,1,210507-143909
-14.8945495527876,4,20,4,210507-143909
-12.0411998265592,10,20,10,210507-143909
-9.11863926091431,18,20,18,210507-143909
-6.02059991327962,19,20,19,210507-143909
-40,24,386,24,210509-151848
-18.4163752731923,2,20,2,210509-151848
-14.8945495527876,9,20,9,210509-151848
-12.0411998265592,10,20,10,210509-151848
-9.11863926091431,16,20,16,210509-151848
-6.02059991327962,18,20,18,210509-151848
-40,38,322,38,210510-113701
-21.9382004543059,3,16,3,210510-113701
-18.4163752731923,4,16,4,210510-113701
-14.8945495527876,8,16,8,210510-113701
-12.0411998265592,8,17,8,210510-113701
-9.11863926091431,16,17,16,210510-113701
-40,30,374,30,210511-133141
-21.9382004543059,5,20,5,210511-133141
-18.4163752731923,6,20,6,210511-133141
-14.8945495527876,8,20,8,210511-133141
-12.0411998265592,14,20,14,210511-133141
-9.11863926091431,17,20,17,210511-133141
-40,27,336,27,210512-154920
-21.9382004543059,3,17,3,210512-154920
-18.4163752731923,4,17,4,210512-154920
-14.8945495527876,4,17,4,210512-154920
-12.0411998265592,12,17,12,210512-154920
-9.11863926091431,15,18,15,210512-154920
-40,19.3,386,10,210513-160446
-18.4163752731923,2,20,2,210513-160446
-14.8945495527876,6,20,6,210513-160446
-12.0411998265592,9,20,9,210513-160446
-9.11863926091431,14,20,14,210513-160446
-6.02059991327962,18,20,18,210513-160446
-40,28,391,28,210514-145603
-21.9382004543059,4,20,4,210514-145603
-18.4163752731923,2,20,2,210514-145603
-14.8945495527876,10,20,10,210514-145603
-12.0411998265592,16,20,16,210514-145603
-9.11863926091431,19,20,19,210514-145603
-40,17,340,17,210516-173352
-21.9382004543059,0.7,14,0,210516-173352
-18.4163752731923,3,14,3,210516-173352
-14.8945495527876,6,14,6,210516-173352
-12.0411998265592,10,15,10,210516-173352
-9.11863926091431,13,15,13,210516-173352
-6.02059991327962,13,15,13,210516-173352
-40,19,130,19,210519-104804
-21.9382004543059,1,6,1,210519-104804
-18.4163752731923,1,6,1,210519-104804
-14.8945495527876,2,7,2,210519-104804
-12.0411998265592,3,7,3,210519-104804
-9.11863926091431,5,7,5,210519-104804
-40,19.55,391,0,210520-095106
-14.8945495527876,1,20,0,210520-095106
-12.0411998265592,1,20,0,210520-095106
-9.11863926091431,1,20,1,210520-095106
-6.02059991327962,2,20,2,210520-095106
-2.97483328812409,4,20,4,210520-095106
