Stimulus,d_prime,Block_id
-12.0411998265592,0,210501-123646
-9.11863926091431,0,210501-123646
-6.02059991327962,0,210501-123646
-2.97483328812409,0,210501-123646
-0.0872961080490018,0,210501-123646
-14.8945495527876,0,210503-131419
-12.0411998265592,0,210503-131419
-9.11863926091431,0,210503-131419
-6.02059991327962,0,210503-131419
-2.97483328812409,0,210503-131419
-18.4163752731923,0,210506-135027
-14.8945495527876,0,210506-135027
-12.0411998265592,0,210506-135027
-9.11863926091431,0,210506-135027
-6.02059991327962,0,210506-135027
-18.4163752731923,0,210507-155813
-14.8945495527876,0,210507-155813
-12.0411998265592,0,210507-155813
-9.11863926091431,0,210507-155813
-6.02059991327962,0,210507-155813
-18.4163752731923,0,210509-163326
-14.8945495527876,0,210509-163326
-12.0411998265592,0,210509-163326
-9.11863926091431,0,210509-163326
-6.02059991327962,0,210509-163326
-21.9382004543059,0,210510-125618
-18.4163752731923,0,210510-125618
-14.8945495527876,0,210510-125618
-12.0411998265592,0,210510-125618
-9.11863926091431,0,210510-125618
-21.9382004543059,0,210511-144520
-18.4163752731923,0,210511-144520
-14.8945495527876,0,210511-144520
-12.0411998265592,0,210511-144520
-9.11863926091431,0,210511-144520
-18.4163752731923,0,210513-171957
-14.8945495527876,0,210513-171957
-12.0411998265592,0,210513-171957
-9.11863926091431,0,210513-171957
-6.02059991327962,0,210513-171957
-21.9382004543059,0,210514-161146
-18.4163752731923,0,210514-161146
-14.8945495527876,0,210514-161146
-12.0411998265592,0,210514-161146
-9.11863926091431,0,210514-161146
-21.9382004543059,0,210516-185542
-18.4163752731923,0,210516-185542
-14.8945495527876,0,210516-185542
-12.0411998265592,0,210516-185542
-9.11863926091431,0,210516-185542
