Stimulus,Adjusted_N_FA_or_Hit,N_trials,N_FA_or_Hit,Block_id
-40,20.05,401,1,210501-123646
-12.0411998265592,1,20,0,210501-123646
-9.11863926091431,1,20,0,210501-123646
-6.02059991327962,1,20,0,210501-123646
-2.97483328812409,1,20,0,210501-123646
-0.0872961080490018,1,20,0,210501-123646
-40,19.65,393,1,210503-131419
-14.8945495527876,1,20,0,210503-131419
-12.0411998265592,1,20,0,210503-131419
-9.11863926091431,1,20,0,210503-131419
-6.02059991327962,1,20,0,210503-131419
-2.97483328812409,1,20,0,210503-131419
-40,18.95,379,0,210506-135027
-18.4163752731923,1,20,0,210506-135027
-14.8945495527876,1,20,0,210506-135027
-12.0411998265592,1,20,0,210506-135027
-9.11863926091431,1,20,0,210506-135027
-6.02059991327962,1,20,0,210506-135027
-40,19.65,393,1,210507-155813
-18.4163752731923,1,20,0,210507-155813
-14.8945495527876,1,20,0,210507-155813
-12.0411998265592,1,20,0,210507-155813
-9.11863926091431,1,20,0,210507-155813
-6.02059991327962,1,20,0,210507-155813
-40,20.5,410,1,210509-163326
-18.4163752731923,1,20,0,210509-163326
-14.8945495527876,1,20,0,210509-163326
-12.0411998265592,1,20,0,210509-163326
-9.11863926091431,1,20,0,210509-163326
-6.02059991327962,1,20,0,210509-163326
-40,20,400,1,210510-125618
-21.9382004543059,1,20,0,210510-125618
-18.4163752731923,1,20,0,210510-125618
-14.8945495527876,1,20,0,210510-125618
-12.0411998265592,1,20,0,210510-125618
-9.11863926091431,1,20,0,210510-125618
-40,19.25,385,1,210511-144520
-21.9382004543059,1,20,0,210511-144520
-18.4163752731923,1,20,0,210511-144520
-14.8945495527876,1,20,0,210511-144520
-12.0411998265592,1,20,0,210511-144520
-9.11863926091431,1,20,0,210511-144520
-40,19.6,392,1,210513-171957
-18.4163752731923,1,20,0,210513-171957
-14.8945495527876,1,20,0,210513-171957
-12.0411998265592,1,20,0,210513-171957
-9.11863926091431,1,20,0,210513-171957
-6.02059991327962,1,20,0,210513-171957
-40,19.4,388,3,210514-161146
-21.9382004543059,1,20,0,210514-161146
-18.4163752731923,1,20,0,210514-161146
-14.8945495527876,1,20,0,210514-161146
-12.0411998265592,1,20,0,210514-161146
-9.11863926091431,1,20,0,210514-161146
-40,20,400,1,210516-185542
-21.9382004543059,1,20,0,210516-185542
-18.4163752731923,1,20,0,210516-185542
-14.8945495527876,1,20,0,210516-185542
-12.0411998265592,1,20,0,210516-185542
-9.11863926091431,1,20,0,210516-185542
