Stimulus,d_prime,Block_id
-12.0411998265592,0,210501-110706
-9.11863926091431,0,210501-110706
-6.02059991327962,0,210501-110706
-2.97483328812409,0,210501-110706
-0.0872961080490018,0,210501-110706
-14.8945495527876,0,210503-114111
-12.0411998265592,0,210503-114111
-9.11863926091431,0,210503-114111
-6.02059991327962,0,210503-114111
-2.97483328812409,0,210503-114111
-18.4163752731923,0,210504-190522
-14.8945495527876,0,210504-190522
-12.0411998265592,0,210504-190522
-9.11863926091431,0,210504-190522
-6.02059991327962,0,210504-190522
-18.4163752731923,0,210507-142441
-14.8945495527876,0,210507-142441
-12.0411998265592,0,210507-142441
-9.11863926091431,0,210507-142441
-6.02059991327962,0,210507-142441
-18.4163752731923,0,210509-150519
-14.8945495527876,0,210509-150519
-12.0411998265592,0,210509-150519
-9.11863926091431,0,210509-150519
-6.02059991327962,0,210509-150519
-21.9382004543059,0,210510-112424
-18.4163752731923,0,210510-112424
-14.8945495527876,0,210510-112424
-12.0411998265592,0,210510-112424
-9.11863926091431,0,210510-112424
-21.9382004543059,0,210511-132040
-18.4163752731923,0,210511-132040
-14.8945495527876,0,210511-132040
-12.0411998265592,0,210511-132040
-9.11863926091431,0,210511-132040
-21.9382004543059,0,210512-153724
-18.4163752731923,0,210512-153724
-14.8945495527876,0,210512-153724
-12.0411998265592,0,210512-153724
-9.11863926091431,0,210512-153724
-18.4163752731923,0,210513-155202
-14.8945495527876,0,210513-155202
-12.0411998265592,0,210513-155202
-9.11863926091431,0,210513-155202
-6.02059991327962,0,210513-155202
-21.9382004543059,0,210516-172213
-18.4163752731923,0,210516-172213
-14.8945495527876,0,210516-172213
-12.0411998265592,0,210516-172213
-9.11863926091431,0,210516-172213
-21.9382004543059,0,210518-103901
-18.4163752731923,0,210518-103901
-14.8945495527876,0,210518-103901
-12.0411998265592,0,210518-103901
-9.11863926091431,0,210518-103901
-21.9382004543059,0,210519-103650
-18.4163752731923,0,210519-103650
-14.8945495527876,0,210519-103650
-12.0411998265592,0,210519-103650
-9.11863926091431,0,210519-103650
-14.8945495527876,0,210520-094012
-12.0411998265592,0,210520-094012
-9.11863926091431,0,210520-094012
-6.02059991327962,0,210520-094012
-2.97483328812409,0,210520-094012
