Stimulus,Adjusted_N_FA_or_Hit,N_trials,N_FA_or_Hit,Block_id
-40,19.85,397,1,210501-110706
-12.0411998265592,1,20,0,210501-110706
-9.11863926091431,1,20,0,210501-110706
-6.02059991327962,1,20,0,210501-110706
-2.97483328812409,1,20,0,210501-110706
-0.0872961080490018,1,20,0,210501-110706
-40,19.3,386,0,210503-114111
-14.8945495527876,1,20,0,210503-114111
-12.0411998265592,1,20,0,210503-114111
-9.11863926091431,1,20,0,210503-114111
-6.02059991327962,1,20,0,210503-114111
-2.97483328812409,1,20,0,210503-114111
-40,19.95,399,1,210504-190522
-18.4163752731923,1,20,0,210504-190522
-14.8945495527876,1,20,0,210504-190522
-12.0411998265592,1,20,0,210504-190522
-9.11863926091431,1,20,0,210504-190522
-6.02059991327962,1,20,0,210504-190522
-40,19.2,384,1,210507-142441
-18.4163752731923,1,20,0,210507-142441
-14.8945495527876,1,20,0,210507-142441
-12.0411998265592,1,20,0,210507-142441
-9.11863926091431,1,20,0,210507-142441
-6.02059991327962,1,20,0,210507-142441
-40,19.5,390,1,210509-150519
-18.4163752731923,1,20,0,210509-150519
-14.8945495527876,1,20,0,210509-150519
-12.0411998265592,1,20,0,210509-150519
-9.11863926091431,1,20,0,210509-150519
-6.02059991327962,1,20,0,210509-150519
-40,19.25,385,1,210510-112424
-21.9382004543059,1,20,0,210510-112424
-18.4163752731923,1,20,0,210510-112424
-14.8945495527876,1,20,0,210510-112424
-12.0411998265592,1,20,0,210510-112424
-9.11863926091431,1,20,0,210510-112424
-40,19.3,386,0,210511-132040
-21.9382004543059,1,20,0,210511-132040
-18.4163752731923,1,20,0,210511-132040
-14.8945495527876,1,20,0,210511-132040
-12.0411998265592,1,20,0,210511-132040
-9.11863926091431,1,20,0,210511-132040
-40,19.7,394,1,210512-153724
-21.9382004543059,1,20,0,210512-153724
-18.4163752731923,1,20,0,210512-153724
-14.8945495527876,1,20,0,210512-153724
-12.0411998265592,1,20,0,210512-153724
-9.11863926091431,1,20,0,210512-153724
-40,19.65,393,2,210513-155202
-18.4163752731923,1,20,0,210513-155202
-14.8945495527876,1,20,0,210513-155202
-12.0411998265592,1,20,0,210513-155202
-9.11863926091431,1,20,0,210513-155202
-6.02059991327962,1,20,0,210513-155202
-40,20.4,408,0,210516-172213
-21.9382004543059,1,20,0,210516-172213
-18.4163752731923,1,20,0,210516-172213
-14.8945495527876,1,20,0,210516-172213
-12.0411998265592,1.05,21,0,210516-172213
-9.11863926091431,1.05,21,0,210516-172213
-40,19.15,383,1,210518-103901
-21.9382004543059,1,20,0,210518-103901
-18.4163752731923,1,20,0,210518-103901
-14.8945495527876,1,20,0,210518-103901
-12.0411998265592,1,20,0,210518-103901
-9.11863926091431,1,20,0,210518-103901
-40,19.1,382,1,210519-103650
-21.9382004543059,1,20,0,210519-103650
-18.4163752731923,1,20,0,210519-103650
-14.8945495527876,1,20,0,210519-103650
-12.0411998265592,1,20,0,210519-103650
-9.11863926091431,1,20,0,210519-103650
-40,19.7,394,1,210520-094012
-14.8945495527876,1,20,0,210520-094012
-12.0411998265592,1,20,0,210520-094012
-9.11863926091431,1,20,0,210520-094012
-6.02059991327962,1,20,0,210520-094012
-2.97483328812409,1,20,0,210520-094012
