ITI_dur,RespWinDur,ShockDur,ShockFlag,Reminder,Stim_Duration,TrialType,RespLatency,AMdepth,AMrate,Highpass,Lowpass,dBSPL,sStim,Optostim,AirPuff,ResponseCode,TrialID,ComputerTimestamp_1,ComputerTimestamp_2,ComputerTimestamp_3,ComputerTimestamp_4,ComputerTimestamp_5,ComputerTimestamp_6,PumpRate,Nogo_lim,Nogo_min,Trial_onset,Trial_offset,Subj_id,Session_id,Hit,Miss,CR,FA
100,100,300,1,1,1000,0,50.0466918945312,1,5,100,20000,45,47994,0,0,18,1,2021,5,12,15,50,52.753,0.2,5,3,92.94241792,93.89246464,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,1,0,0
100,100,300,1,1,1000,0,50.0466918945312,1,5,100,20000,45,142805,0,0,18,2,2021,5,12,15,51,0.521,0.2,5,3,100.83395584,101.78400256,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,1,0,0
100,100,300,1,1,1000,0,50.0466918945312,1,5,100,20000,45,224521,0,0,18,3,2021,5,12,15,51,7.214,0.2,5,3,107.4797568,108.42980352,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,1,0,0
100,100,300,1,1,1000,0,100.038330078125,1,5,100,20000,45,316614,0,0,17,4,2021,5,12,15,51,14.76,0.2,5,3,114.92880384,115.92884224,SUBJ-ID-154,MML-Aversive-AM-210512-154912,1,0,0,0
100,100,300,1,1,1000,0,100.038330078125,1,5,100,20000,45,40459,0,0,17,5,2021,5,12,15,51,22.169,0.2,5,3,122.35350016,123.35353856,SUBJ-ID-154,MML-Aversive-AM-210512-154912,1,0,0,0
100,100,300,1,1,1000,0,100.038330078125,1,5,100,20000,45,151448,0,0,17,6,2021,5,12,15,51,31.26,0.2,5,3,131.51492096,132.51495936,SUBJ-ID-154,MML-Aversive-AM-210512-154912,1,0,0,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,222416,0,0,36,7,2021,5,12,15,51,37.074,0.2,5,3,137.3613056,138.31135232,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,237052,0,0,36,8,2021,5,12,15,51,38.273,0.2,5,3,138.48918016,139.43922688,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,250646,0,0,36,9,2021,5,12,15,51,39.387,0.2,5,3,139.69041408,140.6404608,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,265128,0,0,36,10,2021,5,12,15,51,40.573,0.2,5,3,140.81507328,141.76512,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,0,1,0
100,100,300,1,0,1000,0,50.0466918945312,0.349999994039536,5,100,20000,45,279736,0,0,18,11,2021,5,12,15,51,41.769,0.2,5,3,141.98851584,142.93856256,SUBJ-ID-154,MML-Aversive-AM-210512-154912,0,1,0,0
