ITI_dur,RespWinDur,ShockDur,ShockFlag,Reminder,Stim_Duration,TrialType,RespLatency,AMdepth,AMrate,Highpass,Lowpass,dBSPL,sStim,Optostim,AirPuff,ResponseCode,TrialID,ComputerTimestamp_1,ComputerTimestamp_2,ComputerTimestamp_3,ComputerTimestamp_4,ComputerTimestamp_5,ComputerTimestamp_6,PumpRate,Nogo_lim,Nogo_min,Trial_onset,Trial_offset,Subj_id,Session_id,Hit,Miss,CR,FA
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,53739,0,0,36,1,2021,5,12,15,38,57.466,0.2,5,3,93.49033984,94.44038656,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,68261,0,0,36,2,2021,5,12,15,38,58.656,0.2,5,3,94.638592,95.58863872,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,82192,0,0,36,3,2021,5,12,15,38,59.798,0.2,5,3,95.82389248,96.7739392,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,0,50.0466918945312,0.349999994039536,5,100,20000,45,96483,0,0,18,4,2021,5,12,15,39,0.969,0.2,5,3,96.99065856,97.94070528,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,1,0,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,112306,0,0,36,5,2021,5,12,15,39,2.265,0.2,5,3,98.24077824,99.19082496,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,125837,0,0,36,6,2021,5,12,15,39,3.373,0.2,5,3,99.43197696,100.38202368,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,139394,0,0,36,7,2021,5,12,15,39,4.484,0.2,5,3,100.54690816,101.49695488,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,0,50.0466918945312,0.25,5,100,20000,45,153749,0,0,18,8,2021,5,12,15,39,5.66,0.2,5,3,101.64973568,102.5997824,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,1,0,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,168768,0,0,36,9,2021,5,12,15,39,6.89,0.2,5,3,102.89985536,103.84990208,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,183283,0,0,36,10,2021,5,12,15,39,8.079,0.2,5,3,104.06381568,105.0138624,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,196977,0,0,36,11,2021,5,12,15,39,9.201,0.2,5,3,105.25857792,106.20862464,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,210696,0,0,36,12,2021,5,12,15,39,10.325,0.2,5,3,106.37027328,107.32032,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,0,50.0466918945312,0.180000007152557,5,100,20000,45,224884,0,0,18,13,2021,5,12,15,39,11.487,0.2,5,3,107.51574016,108.46578688,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,1,0,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,239817,0,0,36,14,2021,5,12,15,39,12.711,0.2,5,3,108.76585984,109.71590656,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,253304,0,0,36,15,2021,5,12,15,39,13.815,0.2,5,3,109.8863616,110.83640832,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,267018,0,0,36,16,2021,5,12,15,39,14.938,0.2,5,3,110.97827328,111.92832,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,281424,0,0,36,17,2021,5,12,15,39,16.119,0.2,5,3,112.1409024,113.09094912,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,1,0,1000,1,50.0466918945312,0,5,100,20000,45,295997,0,0,36,18,2021,5,12,15,39,17.313,0.2,5,3,113.291776,114.24182272,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,0,50.0466918945312,0.119999997317791,5,100,20000,45,310556,0,0,18,19,2021,5,12,15,39,18.506,0.2,5,3,114.48612864,115.43617536,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,1,0,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,324178,0,0,36,20,2021,5,12,15,39,19.621,0.2,5,3,115.68121856,116.63126528,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,338542,0,0,36,21,2021,5,12,15,39,20.799,0.2,5,3,116.79479808,117.7448448,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,352439,0,0,36,22,2021,5,12,15,39,21.937,0.2,5,3,117.98124544,118.93129216,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,366134,0,0,36,23,2021,5,12,15,39,23.059,0.2,5,3,119.10971392,120.05976064,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,0,50.0466918945312,0.0799999982118607,5,100,20000,45,13524,0,0,18,24,2021,5,12,15,39,24.204,0.2,5,3,120.2480128,121.19805952,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,1,0,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,27282,0,0,36,25,2021,5,12,15,39,25.331,0.2,5,3,121.36921088,122.3192576,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,41587,0,0,36,26,2021,5,12,15,39,26.503,0.2,5,3,122.53278208,123.4828288,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,55486,0,0,36,27,2021,5,12,15,39,27.641,0.2,5,3,123.67024128,124.620288,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,70227,0,0,36,28,2021,5,12,15,39,28.849,0.2,5,3,124.83944448,125.7894912,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
100,100,300,0,0,1000,1,50.0466918945312,0,5,100,20000,45,83781,0,0,36,29,2021,5,12,15,39,29.96,0.2,5,3,126.02589184,126.97593856,SUBJ-ID-154,MML-Passive-Pre-210512-153716,0,0,1,0
