Unit,ActiveBaseline_modulation_direction,PTP_class
SUBJ-ID-151_210507_concat_cluster2252,increase,broad
SUBJ-ID-151_210507_concat_cluster2254,none,broad
SUBJ-ID-151_210507_concat_cluster2258,increase,narrow
SUBJ-ID-151_210507_concat_cluster2492,decrease,broad
SUBJ-ID-151_210507_concat_cluster2865,none,broad
SUBJ-ID-151_210507_concat_cluster3262,increase,broad
SUBJ-ID-151_210507_concat_cluster3276,decrease,narrow
SUBJ-ID-151_210509_concat_cluster2004,increase,broad
SUBJ-ID-151_210509_concat_cluster2015,increase,broad
SUBJ-ID-151_210509_concat_cluster2023,increase,broad
SUBJ-ID-151_210509_concat_cluster2035,decrease,broad
SUBJ-ID-151_210509_concat_cluster2543,decrease,broad
SUBJ-ID-151_210509_concat_cluster2876,increase,broad
SUBJ-ID-151_210509_concat_cluster3226,increase,broad
SUBJ-ID-151_210509_concat_cluster3229,increase,broad
SUBJ-ID-151_210509_concat_cluster3333,increase,narrow
SUBJ-ID-151_210509_concat_cluster3373,increase,broad
SUBJ-ID-151_210510_concat_cluster1128,none,broad
SUBJ-ID-151_210510_concat_cluster1841,increase,broad
SUBJ-ID-151_210510_concat_cluster2479,increase,broad
SUBJ-ID-151_210510_concat_cluster2480,none,broad
SUBJ-ID-151_210510_concat_cluster2481,decrease,broad
SUBJ-ID-151_210510_concat_cluster2954,increase,broad
SUBJ-ID-151_210510_concat_cluster2967,decrease,broad
SUBJ-ID-151_210510_concat_cluster2968,increase,broad
SUBJ-ID-151_210510_concat_cluster3167,decrease,broad
SUBJ-ID-151_210510_concat_cluster3169,none,broad
SUBJ-ID-151_210510_concat_cluster3177,increase,narrow
SUBJ-ID-151_210510_concat_cluster3180,increase,broad
SUBJ-ID-151_210510_concat_cluster3182,decrease,broad
SUBJ-ID-151_210511_concat_cluster1210,increase,broad
SUBJ-ID-151_210511_concat_cluster1414,increase,broad
SUBJ-ID-151_210511_concat_cluster1416,increase,narrow
SUBJ-ID-151_210511_concat_cluster1420,decrease,broad
SUBJ-ID-151_210511_concat_cluster1425,decrease,broad
SUBJ-ID-151_210511_concat_cluster498,increase,narrow
SUBJ-ID-151_210511_concat_cluster529,increase,broad
SUBJ-ID-151_210511_concat_cluster532,increase,broad
SUBJ-ID-151_210511_concat_cluster949,none,broad
SUBJ-ID-151_210511_concat_cluster958,increase,broad
SUBJ-ID-151_210513_concat_cluster2778,increase,narrow
SUBJ-ID-151_210513_concat_cluster2788,increase,narrow
SUBJ-ID-151_210513_concat_cluster3071,increase,broad
SUBJ-ID-151_210513_concat_cluster3072,none,broad
SUBJ-ID-151_210513_concat_cluster3162,decrease,broad
SUBJ-ID-151_210513_concat_cluster3478,none,broad
SUBJ-ID-151_210513_concat_cluster3828,decrease,broad
SUBJ-ID-151_210513_concat_cluster4029,decrease,broad
SUBJ-ID-151_210514_concat_cluster1162,increase,broad
SUBJ-ID-151_210514_concat_cluster1245,none,broad
SUBJ-ID-151_210514_concat_cluster1246,decrease,broad
SUBJ-ID-151_210514_concat_cluster1300,decrease,broad
SUBJ-ID-151_210514_concat_cluster1468,none,broad
SUBJ-ID-151_210514_concat_cluster1475,decrease,broad
SUBJ-ID-151_210514_concat_cluster1476,decrease,broad
SUBJ-ID-151_210514_concat_cluster1536,decrease,broad
SUBJ-ID-151_210514_concat_cluster1724,increase,narrow
SUBJ-ID-151_210514_concat_cluster1728,increase,broad
SUBJ-ID-151_210514_concat_cluster1814,increase,broad
SUBJ-ID-151_210514_concat_cluster1853,decrease,broad
SUBJ-ID-151_210514_concat_cluster1855,decrease,broad
SUBJ-ID-151_210516_concat_cluster282,none,broad
SUBJ-ID-151_210516_concat_cluster2903,none,narrow
SUBJ-ID-151_210516_concat_cluster2910,decrease,broad
SUBJ-ID-151_210516_concat_cluster2961,increase,broad
SUBJ-ID-151_210516_concat_cluster2962,increase,broad
SUBJ-ID-151_210516_concat_cluster4388,decrease,broad
SUBJ-ID-151_210516_concat_cluster4389,increase,broad
SUBJ-ID-151_210516_concat_cluster5313,decrease,broad
SUBJ-ID-151_210516_concat_cluster5333,increase,broad
SUBJ-ID-151_210516_concat_cluster5334,increase,narrow
SUBJ-ID-151_210516_concat_cluster5348,increase,broad
SUBJ-ID-151_210516_concat_cluster5583,increase,broad
SUBJ-ID-151_210516_concat_cluster5584,decrease,broad
SUBJ-ID-151_210516_concat_cluster5594,increase,broad
SUBJ-ID-151_210516_concat_cluster5595,increase,narrow
SUBJ-ID-154_210501_concat_cluster2627,decrease,broad
