Cluster,Best_channel,Shank,Cluster_quality,PTP_duration_ms,PTP_ratio,Repolarization_duration_ms
2627,47,4,good,0.741376,8.68308208473019,0.516096
2634,57,6,good,0.671744,5.5911026926721,0.274432
2672,49,1,mua,0.765952,5.52257808312132,0.434176
3036,20,2,good,0.638976,6.11341069591797,0.299008
3037,30,2,good,0.651264,5.73501835165495,0.270336
3351,24,2,good,0.75776,6.85294962459172,0.319488
3789,5,3,good,0.847872,8.39548816754745,0.294912
3812,42,4,good,0.651264,5.21629504842665,0.4096
3844,45,4,good,0.671744,5.35055056642287,0.274432
3848,38,4,mua,0.741376,6.15289831571145,0.524288
3864,41,4,good,0.667648,6.03818294926874,0.28672
3865,44,4,mua,0.688128,5.74904439134488,0.43008
